coursecode,name,department,prereqcode,coreqcode
EEL 4458,Fundamentals of Photonics,Electrical & Computer Engineering,EEL 3472C; EEE 3396C,
EEL 4461,Antenna Systems,Electrical & Computer Engineering,EEL 3472C,
EEL 4473,Electromagnetic Fields and Applications,Electrical & Computer Engineering,EEL 3472C,
EEL 4495,Lightning,Electrical & Computer Engineering,EEL 3472C,
EEL 4514C,Communication Systems and Components,Electrical & Computer Engineering,EEL 3112; EEL 3850,
EEL 4516,Noise in Devices and Communication Systems,Electrical & Computer Engineering,,EEL 4514C
EEL 4523,Audio Engineering,Electrical & Computer Engineering,EEL 3111C; EEL 3003,
EEL 4540,Introduction to Radar,Electrical & Computer Engineering,EEL 4514C,
EEL 4598,Computer Communications,Electrical & Computer Engineering,EEL 3834; COP 3503C; COP 3504C; COP 2274,
EEL 4599,Wireless and Mobile Networks,Electrical & Computer Engineering,EEL 3701C,
EEL 4610,State Variable Methods in Linear Systems,Electrical & Computer Engineering,EEL 4657C,
EEL 4651,Control of Biological Systems,Electrical & Computer Engineering,BSC 2005; EEL 4657C; EEL 4610; EEL 3135,
EEL 4657C,Linear Control Systems,Electrical & Computer Engineering,EEL 3112; EEL 3850,
EEL 4665C,Intelligent Machines Design Laboratory,Electrical & Computer Engineering,EML 3005,
EEL 4712C,Digital Design,Electrical & Computer Engineering,EEL 3701C,
EEL 4713C,Digital Computer Architecture,Electrical & Computer Engineering,EEL 3701C; EEL 4712C,
EEL 4720,Reconfigurable Computing,Electrical & Computer Engineering,EEL 4712C,
EEL 4732,Advanced Systems Programming,Electrical & Computer Engineering,EEL 3701C; COP 2271; COP 2273; COP 2274; COP 3502C; COP 3503C; COP 3504C; EEL 3834; COP 4600,
EEL 4736,Principles of Computer System Design,Electrical & Computer Engineering,EEL 4712C; EEL 3834; COP 3503C; COP 3504C; COP 2274,
EEL 4744C,Microprocessor Applications,Electrical & Computer Engineering,EEL 3701C; EEL 3834; COP 3503C; COP 3504C; COP 2274,
EEL 4745C,Microprocessor Applications 2,Electrical & Computer Engineering,EEL 3744C,
EEL 4750,Foundations of Digital Signal Processing,Electrical & Computer Engineering,EEL 3135,
EEL 4837,Programming for Electrical Engineering 2,Electrical & Computer Engineering,EEL 3834; COP 2274; COP 3503C; COP 3504C,
EEL 4853,Cross Layered System Security,Electrical & Computer Engineering,EEL 3834; COP 3503C; COP 3504C; COP 2274; EEL 4736,
EEL 4905,Individual Problems in Electrical Engineering,Electrical & Computer Engineering,,
